Especie;FechaAnillamiento;Cod_Localidad;Localidad;Municipio;Provincia;LatitudGrados;LatitudMinutos;CuadranteLatitud;LongitudGrados;LongitudMinutos;CuadranteLongitud;CentroR;AnillaR;InfoAnillaR;AmpliacionAnillaR;Verificacion;EspecieR;SexoR;EdadR;FechaRecuperacion;Cod_LocalidadR;LocalidadR;MunicipioR;ProvinciaR;LatitudGradosR;LatitudMinutosR;CuadranteLatitudR;LongitudGradosR;LongitudMinutosR;CuadranteLongitudR;
1340;1/7/12;DEGW149;BERNE GL†SING;BERNE GL†SING;WESER-EMS (EXCEP. ISLAS);53;10;N;8;28;E;DEW;1T...569;4;........;0;1340;U;4;18/1/16;ES54629;C.T.R.U TALAVERA DE LA REINA;TALAVERA DE LA REINA;TOLEDO;39;57;N;4;38;W;
1470;26/7/06;FR82301;STATION STOC N¼ 31;ARLES;BOUCHES-DU-RHONE;43;40;N;4;38;E;FRP;X...4023;4;        ;0;1470;U;0;6/1/17;ES331257;PUNTA LA BANYA;DELTEBRE;TARRAGONA;40;35;N;0;40;E;
1340;5/6/12;HEAG153;ALTHAUSERN;ALTHAUSERN;AARGAU;47;18;N;8;21;E;HES;SG...855;4;........;0;1340;U;6;2/1/15;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;10/6/09;HEZH138;DIELSDORF;DIELSDORF;ZURICH;47;29;N;8;26;E;HES;SE...656;4;........;0;1340;U;4;2/1/15;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;5/6/08;DEBT85;ZWIEFALTENDORF;SIGMARINGEN;SUDWURTTENBERG (TUBINGEN);48;13;N;9;31;E;DER;A...6451;4;........;0;1340;U;6;2/1/15;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;27/5/16;DE--274;MITTELFRANKEN;MITTELFRANKEN;ALEMANIA;49;0;N;10;50;E;DER;AX...830;4;        ;0;1340;U;2;29/9/16;ES534026;ESTREMERA;ESTREMERA;MADRID;40;11;N;3;6;W;
1340;9/6/98;HESO36;ALTREU;ALTREU;SOLOTHURN;47;11;N;7;27;E;HES;....5840;4;........;0;1340;U;2;15/12/16;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;11/6/01;HETG30;KREUZLINGEN;KREUZLINGEN;THURGAU;47;39;N;9;10;E;HES;....7243;4;........;0;1340;U;2;15/12/16;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;18/6/04;FR3128;HIERS BROUAGE;HIERS BROUAGE;CHARENTE MARITIME;45;51;N;1;4;W;FRP;P...9559;4;........;0;1340;U;2;31/12/09;ES54629;C.T.R.U TALAVERA DE LA REINA;TALAVERA DE LA REINA;TOLEDO;39;57;N;4;38;W;
1340;18/6/04;FR3128;HIERS BROUAGE;HIERS BROUAGE;CHARENTE MARITIME;45;51;N;1;4;W;FRP;P...9559;4;........;0;1340;U;4;2/1/10;ES54629;C.T.R.U TALAVERA DE LA REINA;TALAVERA DE LA REINA;TOLEDO;39;57;N;4;38;W;
1340;7/6/14;HESG126;ZIEGELHOFHORST;SENNWALD;ST. GALLEN;47;13;N;9;29;E;HES;SH...192;4;........;0;1340;U;2;24/12/14;ES54629;C.T.R.U TALAVERA DE LA REINA;TALAVERA DE LA REINA;TOLEDO;39;57;N;4;38;W;
1340;9/6/08;HEZH2;AEROPUERTO DE ZURICH-KLOTEN;ZURICH;ZURICH;47;23;N;8;33;E;HES;SE...606;4;        ;0;1340;U;4;5/2/16;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;9/6/08;HEZH2;AEROPUERTO DE ZURICH-KLOTEN;ZURICH;ZURICH;47;23;N;8;33;E;HES;SE...606;4;        ;0;1340;U;2;8/1/16;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;9/6/08;HEZH2;AEROPUERTO DE ZURICH-KLOTEN;ZURICH;ZURICH;47;23;N;8;33;E;HES;SE...606;4;        ;0;1340;U;4;13/1/16;ES26868;ALFOCEA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
